_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
108,YEŞİL ALAN,KARŞIYAKA,BAHRİYE ÜÇOK,1732 Sokak,KARŞIYAKA İZBAN İSTASYONU ÜSTÜ HATTI,19794.04999999999927240423858165740966796875,,
109,PARK,KARŞIYAKA,BAHARİYE,"",İZBAN HATTI SONU PARKI,1464.700000000000045474735088646411895751953125,,1
110,PARK,KARŞIYAKA,ŞEMİKLER,"",KARŞIYAKA OTELİ YANI PARKI,2200.1999999999998181010596454143524169921875,,1
111,YEŞİL ALAN,KARŞIYAKA,ZÜBEYDE HANIM,"",ÖRNEKKÖY SOSYAL PROJELER YERLEŞKESI,7445.4700000000002546585164964199066162109375,,1
112,YEŞİL ALAN,KARŞIYAKA,YALI,"",ŞEMİKLER İZBAN İSTASYONU YEŞİL ALAN,3247.75,,
113,YEŞİL ALAN,KARŞIYAKA,YALI,6525 Sokak ,MAVİŞEHİR İZBAN İSTASYONU YANI,12788.170000000000072759576141834259033203125,,
114,YEŞİL ALAN,KARŞIYAKA,BAHÇELİEVLER,Cevdet Bilsay Caddesi,SOĞUKKUYU CAMİ ÇEVRESİ,2950.01999999999998181010596454143524169921875,,
115,MEYDAN,KARŞIYAKA,TUNA,"",ANAYASA MEYDANI,8307.4300000000002910383045673370361328125,,
116,PARK,KARŞIYAKA,MAVİŞEHİR,2040 Sokak,PEYNİRCİOĞLU REKREASYON ALANI,46078.389999999999417923390865325927734375,1,1
117,REKREASYON ALANI,KARŞIYAKA,YALI,6523 Sokak,HALK PARK,55756.66000000000349245965480804443359375,2,3
118,PARK,KARŞIYAKA,ATAKENT,Hasan Ali Yücel Bulvarı,OLOF PALME PARKI,45852.169999999998253770172595977783203125,,2
119,PARK,ÇİĞLİ,ATAŞEHİR,"",KOÇTAŞ ARKASI YENİ PARK,1015.9600000000000363797880709171295166015625,,1
120,PARK,KARŞIYAKA,BOSTANLI,Hasan Ali Yücel Bulvarı -İsmail Sivri Sokak,HIFZIVELDET VELİ DEDEOĞLU PARKI,15197.34000000000014551915228366851806640625,,1
121,PARK,KARŞIYAKA,ATAKENT,"",MALİK YAYLIM PARKI,2817.1300000000001091393642127513885498046875,,
122,PARK,KARŞIYAKA,BOSTANLI,Hasan Ali Yücel Bulvarı,KURMAY BINBAŞI RECEP GÜNGÖR PARKI,8909.219999999999345163814723491668701171875,,
123,PARK,KARŞIYAKA,BOSTANLI,"",ADNAN SAYGUN PARKI,7301.5399999999999636202119290828704833984375,,
124,PARK,KARŞIYAKA,MAVİŞEHİR,"",FLAMİNGO DOĞA PARKI,72658.1799999999930150806903839111328125,,1
125,PARK,KARŞIYAKA,YALI,Caher Dudayev Bulvarı - 6524 Sokak,MUZAFFER İZGÜ PARKI,14217.239999999999781721271574497222900390625,,1
126,PARK,KARŞIYAKA,YALI,6527 Sokak,BEKİR COŞKUN PAKO PARKI,4171.0699999999997089616954326629638671875,,
127,YEŞİL ALAN,KARŞIYAKA,ATAKENT,"",EFES 4-5-6 ÖNLERİ,2549.239999999999781721271574497222900390625,,
128,PARK,KARŞIYAKA,ÖRNEKKÖY,Baş Pehlivan Karaali Caddesi,ÖRNEKKÖY MAHALLESİ PARKI,2976.260000000000218278728425502777099609375,1,1
129,PARK,KARŞIYAKA,DEMİRKÖPRÜ, Bestekar Yusuf Nalkesen Cd.,DEMİRKÖPRÜ PARKI,3989.760000000000218278728425502777099609375,1,1
130,PARK,KARŞIYAKA,BAHÇELİEVLER,Yaşar Aksoy Sokak,SOĞUKKUYU DERE KENARI PARKI,5498.239999999999781721271574497222900390625,1,1
131,PARK,KARŞIYAKA,AKSOY,"",GAZİ JANDARMA KID.ALBAY S. LÜTFÜ BAYKARA,1685.920000000000072759576141834259033203125,,1
132,PARK,KARŞIYAKA,BAHÇELİEVLER,"",BAHÇELİEVLER YENİ PARK,1120.5,,1
133,PARK,KARŞIYAKA,ŞEMİKLER,"",KARŞIYAKA OTELİ YANI PARKI,2200.1999999999998181010596454143524169921875,,1
134,PARK,KARŞIYAKA,ALAYBEY,1671 Sokak,VOLKAN VEDAT AKAY PARKI / ALAYBEY İZBAN İSTASYONU ÜSTÜ,3474.5500000000001818989403545856475830078125,1,1
135,PARK,KARŞIYAKA,BAHARİYE,Latife Hanım Sokağı,KARŞIYAKA YASA PARKI,2238.510000000000218278728425502777099609375,,
136,PARK,KARŞIYAKA,BAHÇELİEVLER,1851 Sokak No:86,İZAY PARKI,4549.2100000000000363797880709171295166015625,1,1
137,PARK,KARŞIYAKA,BAHARİYE,"",İZBAN HATTI SONU PARKI,1464.700000000000045474735088646411895751953125,,1
138,AĞAÇLANDIRMA ALANI,ÇİĞLİ,SASALI MERKEZ,Ahmet Piriştina Caddesi,SASALI KENT ORMANI,3131238.1499999999068677425384521484375,1,4
139,MESİRE ALANI,ÇİĞLİ,SASALI MERKEZ,5. Sokak,SASALI MESİRE ALANI,23261.669999999998253770172595977783203125,1,1
